,picture_name,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,cluster_49,material
0,cardboard103.jpg,2.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,3.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,cardboard
1,cardboard106.jpg,12.0,7.0,12.0,6.0,22.0,3.0,6.0,11.0,5.0,9.0,5.0,15.0,12.0,9.0,11.0,6.0,12.0,8.0,6.0,4.0,14.0,18.0,7.0,8.0,26.0,1.0,2.0,10.0,7.0,3.0,16.0,12.0,7.0,19.0,3.0,10.0,16.0,16.0,10.0,8.0,10.0,9.0,12.0,4.0,4.0,16.0,5.0,10.0,12.0,6.0,cardboard
2,cardboard113.jpg,104.0,10.0,2.0,0.0,5.0,0.0,3.0,6.0,1.0,3.0,19.0,13.0,1.0,33.0,7.0,2.0,7.0,12.0,6.0,7.0,14.0,9.0,4.0,1.0,15.0,23.0,9.0,6.0,2.0,1.0,29.0,7.0,2.0,12.0,0.0,1.0,12.0,11.0,0.0,9.0,7.0,23.0,6.0,1.0,0.0,9.0,5.0,6.0,19.0,3.0,cardboard
3,cardboard114.jpg,11.0,1.0,20.0,8.0,7.0,1.0,5.0,3.0,9.0,10.0,1.0,5.0,5.0,10.0,4.0,1.0,7.0,10.0,3.0,7.0,3.0,1.0,6.0,5.0,3.0,4.0,18.0,5.0,12.0,4.0,6.0,6.0,9.0,2.0,4.0,1.0,1.0,5.0,1.0,0.0,2.0,5.0,3.0,9.0,7.0,1.0,5.0,4.0,31.0,2.0,cardboard
4,cardboard119.jpg,1.0,0.0,2.0,14.0,2.0,11.0,6.0,3.0,12.0,2.0,3.0,2.0,5.0,1.0,2.0,14.0,22.0,9.0,3.0,6.0,2.0,4.0,4.0,7.0,3.0,2.0,0.0,3.0,20.0,6.0,4.0,3.0,1.0,9.0,10.0,19.0,3.0,7.0,17.0,11.0,1.0,9.0,3.0,3.0,12.0,13.0,11.0,4.0,2.0,5.0,cardboard
5,cardboard12.jpg,13.0,38.0,9.0,6.0,12.0,3.0,19.0,20.0,1.0,2.0,6.0,8.0,7.0,13.0,12.0,5.0,9.0,8.0,20.0,3.0,6.0,29.0,4.0,1.0,19.0,1.0,1.0,18.0,1.0,2.0,11.0,3.0,1.0,18.0,2.0,1.0,21.0,6.0,3.0,17.0,3.0,12.0,19.0,2.0,3.0,27.0,4.0,10.0,23.0,12.0,cardboard
6,cardboard122.jpg,3.0,0.0,4.0,19.0,0.0,36.0,5.0,1.0,58.0,3.0,2.0,4.0,8.0,4.0,2.0,12.0,5.0,1.0,0.0,42.0,5.0,0.0,8.0,10.0,0.0,32.0,4.0,8.0,9.0,18.0,8.0,6.0,11.0,0.0,27.0,20.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,21.0,35.0,0.0,10.0,12.0,2.0,8.0,cardboard
7,cardboard126.jpg,9.0,12.0,14.0,10.0,22.0,1.0,13.0,10.0,4.0,13.0,8.0,18.0,9.0,13.0,22.0,4.0,9.0,19.0,6.0,1.0,13.0,29.0,6.0,3.0,27.0,2.0,1.0,14.0,0.0,8.0,13.0,9.0,7.0,7.0,2.0,2.0,30.0,13.0,7.0,4.0,3.0,1.0,10.0,1.0,2.0,27.0,9.0,9.0,5.0,19.0,cardboard
8,cardboard135.jpg,5.0,37.0,19.0,4.0,16.0,9.0,3.0,6.0,5.0,13.0,2.0,16.0,17.0,0.0,12.0,0.0,23.0,16.0,4.0,1.0,15.0,17.0,0.0,1.0,31.0,2.0,0.0,13.0,3.0,5.0,2.0,5.0,1.0,33.0,2.0,2.0,8.0,16.0,3.0,5.0,0.0,2.0,8.0,0.0,0.0,23.0,8.0,1.0,5.0,2.0,cardboard
9,cardboard137.jpg,12.0,18.0,31.0,2.0,9.0,0.0,3.0,12.0,2.0,1.0,10.0,4.0,3.0,4.0,9.0,10.0,15.0,9.0,9.0,0.0,4.0,19.0,2.0,1.0,7.0,3.0,16.0,2.0,8.0,0.0,2.0,5.0,5.0,24.0,0.0,5.0,1.0,2.0,5.0,7.0,2.0,16.0,3.0,0.0,3.0,8.0,4.0,4.0,12.0,3.0,cardboard
